Assignment for Session #1
Papers in Track #1, 15, Papers in Track #2, 16
Paper ID, Title, Paper ID, Title
Submission #10,  Title of Submission #10, Submission #14,  Title of Submission #14
Submission #17,  Title of Submission #17, Submission #15,  Title of Submission #15
Submission #18,  Title of Submission #18, Submission #19,  Title of Submission #19
Submission #22,  Title of Submission #22, Submission #21,  Title of Submission #21
Submission #28,  Title of Submission #28, Submission #26,  Title of Submission #26
Submission #30,  Title of Submission #30, Submission #29,  Title of Submission #29
Submission #36,  Title of Submission #36, Submission #37,  Title of Submission #37
Submission #43,  Title of Submission #43, Submission #39,  Title of Submission #39
Submission #48,  Title of Submission #48, Submission #41,  Title of Submission #41
Submission #57,  Title of Submission #57, Submission #44,  Title of Submission #44
Submission #59,  Title of Submission #59, Submission #51,  Title of Submission #51
Submission #61,  Title of Submission #61, Submission #52,  Title of Submission #52
Submission #66,  Title of Submission #66, Submission #53,  Title of Submission #53
Submission #68,  Title of Submission #68, Submission #60,  Title of Submission #60
Submission #79,  Title of Submission #79, Submission #63,  Title of Submission #63
, , Submission #74,  Title of Submission #74
Reviewers in Track #1, 33, Reviewers in Track #2, 34
Reviewer Name, Email, Reviewer Name, Email
 Name of Reviewer #0 ,  Email address of Reviewer #0,  Name of Reviewer #2 ,  Email address of Reviewer #2
 Name of Reviewer #1 ,  Email address of Reviewer #1,  Name of Reviewer #4 ,  Email address of Reviewer #4
 Name of Reviewer #3 ,  Email address of Reviewer #3,  Name of Reviewer #5 ,  Email address of Reviewer #5
 Name of Reviewer #10 ,  Email address of Reviewer #10,  Name of Reviewer #6 ,  Email address of Reviewer #6
 Name of Reviewer #11 ,  Email address of Reviewer #11,  Name of Reviewer #7 ,  Email address of Reviewer #7
 Name of Reviewer #12 ,  Email address of Reviewer #12,  Name of Reviewer #8 ,  Email address of Reviewer #8
 Name of Reviewer #13 ,  Email address of Reviewer #13,  Name of Reviewer #9 ,  Email address of Reviewer #9
 Name of Reviewer #14 ,  Email address of Reviewer #14,  Name of Reviewer #15 ,  Email address of Reviewer #15
 Name of Reviewer #16 ,  Email address of Reviewer #16,  Name of Reviewer #21 ,  Email address of Reviewer #21
 Name of Reviewer #17 ,  Email address of Reviewer #17,  Name of Reviewer #24 ,  Email address of Reviewer #24
 Name of Reviewer #18 ,  Email address of Reviewer #18,  Name of Reviewer #27 ,  Email address of Reviewer #27
 Name of Reviewer #19 ,  Email address of Reviewer #19,  Name of Reviewer #30 ,  Email address of Reviewer #30
 Name of Reviewer #20 ,  Email address of Reviewer #20,  Name of Reviewer #33 ,  Email address of Reviewer #33
 Name of Reviewer #22 ,  Email address of Reviewer #22,  Name of Reviewer #34 ,  Email address of Reviewer #34
 Name of Reviewer #23 ,  Email address of Reviewer #23,  Name of Reviewer #36 ,  Email address of Reviewer #36
 Name of Reviewer #25 ,  Email address of Reviewer #25,  Name of Reviewer #37 ,  Email address of Reviewer #37
 Name of Reviewer #26 ,  Email address of Reviewer #26,  Name of Reviewer #40 ,  Email address of Reviewer #40
 Name of Reviewer #28 ,  Email address of Reviewer #28,  Name of Reviewer #41 ,  Email address of Reviewer #41
 Name of Reviewer #29 ,  Email address of Reviewer #29,  Name of Reviewer #43 ,  Email address of Reviewer #43
 Name of Reviewer #31 ,  Email address of Reviewer #31,  Name of Reviewer #44 ,  Email address of Reviewer #44
 Name of Reviewer #32 ,  Email address of Reviewer #32,  Name of Reviewer #45 ,  Email address of Reviewer #45
 Name of Reviewer #35 ,  Email address of Reviewer #35,  Name of Reviewer #46 ,  Email address of Reviewer #46
 Name of Reviewer #38 ,  Email address of Reviewer #38,  Name of Reviewer #51 ,  Email address of Reviewer #51
 Name of Reviewer #39 ,  Email address of Reviewer #39,  Name of Reviewer #52 ,  Email address of Reviewer #52
 Name of Reviewer #42 ,  Email address of Reviewer #42,  Name of Reviewer #53 ,  Email address of Reviewer #53
 Name of Reviewer #47 ,  Email address of Reviewer #47,  Name of Reviewer #54 ,  Email address of Reviewer #54
 Name of Reviewer #48 ,  Email address of Reviewer #48,  Name of Reviewer #55 ,  Email address of Reviewer #55
 Name of Reviewer #49 ,  Email address of Reviewer #49,  Name of Reviewer #57 ,  Email address of Reviewer #57
 Name of Reviewer #50 ,  Email address of Reviewer #50,  Name of Reviewer #61 ,  Email address of Reviewer #61
 Name of Reviewer #56 ,  Email address of Reviewer #56,  Name of Reviewer #62 ,  Email address of Reviewer #62
 Name of Reviewer #58 ,  Email address of Reviewer #58,  Name of Reviewer #63 ,  Email address of Reviewer #63
 Name of Reviewer #59 ,  Email address of Reviewer #59,  Name of Reviewer #64 ,  Email address of Reviewer #64
 Name of Reviewer #60 ,  Email address of Reviewer #60,  Name of Reviewer #65 ,  Email address of Reviewer #65
, ,  Name of Reviewer #66 ,  Email address of Reviewer #66
Assignment for Session #2
Papers in Track #1, 15, Papers in Track #2, 16
Paper ID, Title, Paper ID, Title
Submission #13,  Title of Submission #13, Submission #0,  Title of Submission #0
Submission #23,  Title of Submission #23, Submission #5,  Title of Submission #5
Submission #24,  Title of Submission #24, Submission #8,  Title of Submission #8
Submission #25,  Title of Submission #25, Submission #11,  Title of Submission #11
Submission #34,  Title of Submission #34, Submission #20,  Title of Submission #20
Submission #35,  Title of Submission #35, Submission #46,  Title of Submission #46
Submission #54,  Title of Submission #54, Submission #55,  Title of Submission #55
Submission #64,  Title of Submission #64, Submission #58,  Title of Submission #58
Submission #73,  Title of Submission #73, Submission #69,  Title of Submission #69
Submission #75,  Title of Submission #75, Submission #71,  Title of Submission #71
Submission #78,  Title of Submission #78, Submission #86,  Title of Submission #86
Submission #85,  Title of Submission #85, Submission #90,  Title of Submission #90
Submission #89,  Title of Submission #89, Submission #92,  Title of Submission #92
Submission #91,  Title of Submission #91, Submission #96,  Title of Submission #96
Submission #94,  Title of Submission #94, Submission #102,  Title of Submission #102
, , Submission #103,  Title of Submission #103
Reviewers in Track #1, 33, Reviewers in Track #2, 34
Reviewer Name, Email, Reviewer Name, Email
 Name of Reviewer #4 ,  Email address of Reviewer #4,  Name of Reviewer #0 ,  Email address of Reviewer #0
 Name of Reviewer #5 ,  Email address of Reviewer #5,  Name of Reviewer #1 ,  Email address of Reviewer #1
